Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
37.00 < Age <= 48.00,Federal-gov,High School grad,Never-Married,Blue-Collar,Own-child,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age > 48.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Dropout,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,?,"Less than $50,000"
Age > 48.00,Federal-gov,Bachelors,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Sales,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,State-gov,High School grad,Married,Professional,Husband,Black,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Never-Married,White-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Masters,Separated,Professional,Unmarried,White,Female,Low,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,Bachelors,Never-Married,Service,Not-in-family,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50,000"
28.00 < Age <= 37.00,Local-gov,High School grad,Never-Married,Other,Not-in-family,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Wife,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Federal-gov,High School grad,Separated,Admin,Unmarried,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Dropout,Married,Service,Husband,Black,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,Masters,Married,White-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Prof-School,Married,Professional,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,Bachelors,Married,Professional,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,Associates,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Separated,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Associates,Married,White-Collar,Husband,White,Male,Low,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Admin,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Service,Husband,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,Prof-School,Separated,Professional,Unmarried,White,Female,None,None,Hours per week <= 40.00,Euro_1,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,State-gov,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Other,Not-in-family,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,High School grad,Separated,Admin,Not-in-family,Black,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,Euro_1,"More than $50,000"
37.00 < Age <= 48.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Own-child,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Associates,Married,White-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,State-gov,Doctorate,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Service,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Service,Unmarried,White,Female,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Prof-School,Married,Professional,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Associates,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,Bachelors,Married,White-Collar,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,High,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,SE-Asia,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Masters,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,Bachelors,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,State-gov,Bachelors,Never-Married,Professional,Not-in-family,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Married,White-Collar,Wife,White,Female,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,White-Collar,Wife,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Associates,Married,White-Collar,Husband,Black,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,?,Bachelors,Married,?,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,?,High School grad,Married,?,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Doctorate,Never-Married,Professional,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Service,Not-in-family,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,State-gov,High School grad,Married,Admin,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Masters,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,High,None,Hours per week > 45.00,?,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Wife,White,Female,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Associates,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Separated,Admin,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Unmarried,Amer-Indian-Eskimo,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Widowed,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Service,Own-child,Black,Female,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,High School grad,Never-Married,Admin,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Wife,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Associates,Never-Married,Service,Own-child,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Sales,Wife,Other,Female,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,?,Bachelors,Never-Married,?,Not-in-family,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,?,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,Bachelors,Separated,White-Collar,Not-in-family,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Prof-School,Married,Professional,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,Masters,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Associates,Married,Blue-Collar,Wife,White,Female,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Widowed,Blue-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,Bachelors,Married,Other,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Masters,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,?,High School grad,Married,?,Husband,White,Male,None,Low,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Wife,Asian-Pac-Islander,Female,None,Low,Hours per week <= 40.00,?,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Separated,Sales,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,?,Dropout,Never-Married,?,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Masters,Separated,White-Collar,Not-in-family,White,Female,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Admin,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Prof-School,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Widowed,Admin,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,Low,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Sales,Own-child,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Sales,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,?,High School grad,Married,?,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,State-gov,High School grad,Never-Married,Other,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Sales,Other-relative,Other,Female,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Federal-gov,High School grad,Widowed,White-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Sales,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,High School grad,Separated,Professional,Unmarried,White,Female,Low,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-inc,High School grad,Separated,White-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Local-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Local-gov,Bachelors,Married,Professional,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,State-gov,Doctorate,Separated,Professional,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
37.00 < Age <= 48.00,Private,Associates,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,Other,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Separated,Blue-Collar,Own-child,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Separated,Professional,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Professional,Not-in-family,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,China,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Blue-Collar,Other-relative,White,Female,None,None,Hours per week <= 40.00,Other,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Prof-School,Separated,Professional,Unmarried,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Other-relative,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,?,Associates,Separated,?,Own-child,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Service,Husband,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,China,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Blue-Collar,Not-in-family,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-inc,Prof-School,Never-Married,Professional,Not-in-family,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,Masters,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Other,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,British-Commonwealth,"Less than $50,000"
Age > 48.00,Federal-gov,High School grad,Married,Admin,Husband,Black,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Other,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Separated,Sales,Unmarried,White,Female,None,Low,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Sales,Husband,Asian-Pac-Islander,Male,Low,None,Hours per week <= 40.00,SE-Asia,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Admin,Unmarried,Black,Female,None,None,Hours per week <= 40.00,?,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Professional,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Prof-School,Married,Professional,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Separated,Service,Not-in-family,Black,Male,None,Low,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Professional,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Local-gov,High School grad,Never-Married,Other,Own-child,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Prof-School,Married,Professional,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,?,Associates,Never-Married,?,Own-child,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,None,High,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
